nohup: ignoring input
Starting QuizFlow with Gunicorn (Production Mode)
===============================================
[2025-12-13 08:57:19 +0000] [5275] [INFO] Starting gunicorn 21.2.0
[2025-12-13 08:57:19 +0000] [5275] [INFO] Listening at: http://0.0.0.0:5000 (5275)
[2025-12-13 08:57:19 +0000] [5275] [INFO] Using worker: gthread
[2025-12-13 08:57:19 +0000] [5276] [INFO] Booting worker with pid: 5276
[2025-12-13 08:57:19 +0000] [5277] [INFO] Booting worker with pid: 5277
[2025-12-13 08:57:19 +0000] [5278] [INFO] Booting worker with pid: 5278
[2025-12-13 08:57:19 +0000] [5279] [INFO] Booting worker with pid: 5279
27.63.17.88 - - [13/Dec/2025:08:57:25 +0000] "GET /admin/ HTTP/1.0" 302 211 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:26 +0000] "GET /admin/login HTTP/1.0" 200 1691 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:26 +0000] "GET /static/css/style.css HTTP/1.0" 304 0 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:30 +0000] "POST /admin/login HTTP/1.0" 200 1828 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:31 +0000] "GET /static/css/style.css HTTP/1.0" 304 0 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:43 +0000] "POST /admin/login HTTP/1.0" 200 1828 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:44 +0000] "GET /static/css/style.css HTTP/1.0" 304 0 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:55 +0000] "POST /admin/login HTTP/1.0" 302 201 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:55 +0000] "GET /admin/ HTTP/1.0" 200 8103 "https://photon.shunyatixlabs.tech/admin/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
27.63.17.88 - - [13/Dec/2025:08:57:56 +0000] "GET /static/css/style.css HTTP/1.0" 304 0 "https://photon.shunyatixlabs.tech/admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
3.236.252.157 - - [13/Dec/2025:09:01:04 +0000] "GET / HTTP/1.0" 200 2299 "-" "okhttp/5.3.0"
3.236.252.157 - - [13/Dec/2025:09:01:04 +0000] "GET /favicon.ico HTTP/1.0" 404 207 "-" "okhttp/5.3.0"
3.236.252.157 - - [13/Dec/2025:09:01:04 +0000] "GET /favicon.png HTTP/1.0" 404 207 "-" "okhttp/5.3.0"
100.48.72.150 - - [13/Dec/2025:09:01:38 +0000] "GET / HTTP/1.0" 200 2299 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36"
100.48.72.150 - - [13/Dec/2025:09:01:38 +0000] "GET /static/css/style.css HTTP/1.0" 200 0 "https://photon.shunyatixlabs.tech/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/138.0.7204.23 Safari/537.36"
